,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,L,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
209337_at,NA,NA,-1.78481914546284,8.42616715717158,-6.50515690081443,4.86689054666654e-06,0.00229948990495359,4.30398175631817,-1.78481914546284,7.0035351712315,8.78835431669434,6.88543089207992,6.5366197736678,7.1574213599321,7.31161984388762,7.12658398659007,8.28065964488587,9.07755678760403,8.99809634714681,9.19373934786885,8.39171945596616
206827_s_at,NA,NA,1.60786500822124,7.67672231408902,6.37905696491023,6.21537366980625e-06,0.00280313352508262,4.07924467594544,1.60786500822124,8.71625455389235,7.1083895456711,8.84225880046269,8.30563314553657,8.02410100906379,8.69874173694248,9.7105380774562,7.22894184290573,7.09178634791808,6.84985971288278,7.13106642286828,7.24029340178066
206166_s_at,NA,NA,3.98432231138109,7.47631152702823,6.34645214447694,6.62342544940899e-06,0.00281164572760043,4.02072911762677,3.98432231138109,10.2461027606917,6.26178044931059,10.8509795870902,9.81887678519595,12.3305653612922,7.11976285228846,11.1103292175916,5.93906730229875,6.9633196579251,6.31731765549226,5.91158143524886,6.17761619558796
209786_at,NA,NA,-1.7577937151087,9.81043750131007,-6.33290784597623,6.80099752695125e-06,0.00281164572760043,3.99637235536751,-1.7577937151087,8.454843443953,10.2126371590617,8.50190126718669,8.15106060795216,9.06899520242254,8.49808923989191,8.05417090231172,9.16019257034967,10.6061714169399,10.4326656837214,10.6572027856767,10.2069533386208
212982_at,NA,NA,-1.22507668833023,8.30122929825354,-6.2463318591386,8.05880154327603e-06,0.00319837715649539,3.84000616120492,-1.22507668833023,7.65349264874274,8.87856933707297,7.60291783048664,7.68500046786715,7.94916974945874,7.72628268025974,7.30409251564143,8.39389682957958,9.17765538418456,9.25792374897106,8.8814617591198,8.68190896350983
201236_s_at,NA,NA,-1.33755737901661,10.0865956221754,-6.15664445064402,9.61783002867128e-06,0.00367031190555678,3.6767939151001,-1.33755737901661,9.56997803044943,10.907535409466,9.67430026405557,10.0261410125017,9.48722513707842,9.23903378600249,9.42318995260896,10.8858035651409,10.9046046202903,11.3014769656249,10.8388677377278,10.6069241585463
205306_x_at,NA,NA,2.69622004935728,8.91943132558654,6.07763121430856,1.12493725264739e-05,0.00413393608176571,3.53198107363498,2.69622004935728,10.7947744991984,8.09855444984111,11.3985730752854,9.14164032186913,11.3942701314159,10.6132928693577,11.4260960980639,8.62969919629287,7.42436393663743,7.40996620408714,8.2825677049975,8.7461752071906
211138_s_at,NA,NA,2.77831139904083,9.15960625921655,5.99727023290919,1.32040855455526e-05,0.00467896202796331,3.38372235545106,2.77831139904083,11.066973423663,8.28866202462222,11.7546589090864,9.2877909606473,11.7288435741768,10.9318397404642,11.6317339339405,8.8792695085145,7.45808126208642,7.7344235254608,8.46290543657893,8.90863039047042
203685_at,NA,NA,-2.05737833203953,8.18809326859651,-5.95400201156832,1.43987427375495e-05,0.00492635604972296,3.30349243112043,-2.05737833203953,7.13342619545811,9.19080452749764,7.18827932091882,7.18901449926465,6.41847677710009,7.19409143609416,7.67726894391285,9.48074706273551,10.3030851538637,9.21016017228004,8.65111786387685,8.30891238473211
202641_at,NA,NA,-1.1891724148009,9.38960887535031,-5.71605048613099,2.32850581983564e-05,0.00770114491480308,2.85731091927354,-1.1891724148009,8.72639602521632,9.91556844001722,8.39266776918437,8.83367441500356,8.75594701607223,8.64488609649512,9.00480482932632,10.171474677731,9.97735091544344,9.54513491764807,10.1129138572378,9.7709678320259
